column,response,year,count,total_count,proportion
BIN.MINORITY_HOMECOUNTRY,No,2017,673,853,0.7889800703399765
BIN.MINORITY_HOMECOUNTRY,Yes,2017,114,853,0.1336459554513482
BIN.MINORITY_HOMECOUNTRY,Not sure,2017,39,853,0.04572098475967175
BIN.MINORITY_HOMECOUNTRY,Prefer not to say,2017,27,853,0.031652989449003514
BIN.MINORITY_HOMECOUNTRY,No,2024,1095,1559,0.7023733162283515
BIN.MINORITY_HOMECOUNTRY,Yes,2024,283,1559,0.18152661962796665
BIN.MINORITY_HOMECOUNTRY,Not sure,2024,101,1559,0.06478511866581142
BIN.MINORITY_HOMECOUNTRY,Prefer not to say,2024,80,1559,0.05131494547787043
