year,column,response,count,total_count,ci_lower_normal,ci_upper_normal,ci_lower_agresti_coull,ci_upper_agresti_coull,ci_lower_beta,ci_upper_beta,ci_lower_wilson,ci_upper_wilson,ci_lower_jeffreys,ci_upper_jeffreys,ci_lower_binom_test,ci_upper_binom_test
2017,BIN.DISCOURAGING_BEHAVIOR.BAD_DOCS,No,252,3371,0.0658772086838635,0.08363332231583985,0.06633995221128788,0.08413865990051023,0.06610070345003635,0.08415576435846694,0.06635311056618372,0.08412550154561442,0.06624080927224058,0.08399948675652712,0.06626237358955893,0.08431305646405443
2017,BIN.DISCOURAGING_BEHAVIOR.BAD_DOCS,Yes,3119,3371,0.9163666776841601,0.9341227913161365,0.9158613400994897,0.933660047788712,0.915844235641533,0.9338992965499636,0.9158744984543856,0.9336468894338164,0.9160005132434729,0.9337591907277594,0.9156869435359456,0.9337376264104411
2024,BIN.DISCOURAGING_BEHAVIOR.BAD_DOCS,No,765,5753,0.12420004309511025,0.14174815784353043,0.12444104860333938,0.1419969747107343,0.12430088158458748,0.14202135176051378,0.12444446358280485,0.14199355973126881,0.1243853222326826,0.14193205870729533,0.12435004843083874,0.14199506350235028
2024,BIN.DISCOURAGING_BEHAVIOR.BAD_DOCS,Yes,4988,5753,0.8582518421564695,0.8757999569048898,0.8580030252892656,0.8755589513966606,0.8579786482394862,0.8756991184154125,0.8580064402687312,0.8755555364171951,0.8580679412927047,0.8756146777673174,0.8580049364976498,0.8756499515691613
2017,BIN.DISCOURAGING_BEHAVIOR.CONFLICT,No,1838,3347,0.5322914287300329,0.5660055536422408,0.5322445611500252,0.5659397319725116,0.532105253056689,0.5661057693908713,0.5322446552610204,0.5659396378615164,0.5322550102060493,0.5659570112903999,0.5321211896934804,0.5660350842332158
2017,BIN.DISCOURAGING_BEHAVIOR.CONFLICT,Yes,1509,3347,0.4339944463577592,0.4677085712699671,0.4340602680274883,0.46775543884997484,0.4338942306091287,0.46789474694331096,0.43406036213848354,0.4677553447389795,0.4340429887096001,0.4677449897939508,0.43396491576678414,0.46787881030651957
2024,BIN.DISCOURAGING_BEHAVIOR.CONFLICT,No,3259,5739,0.5550526929876496,0.5806852404502316,0.5550114209719039,0.5806357156565152,0.5549337622728387,0.5807351174432246,0.5550115013504274,0.5806356352779917,0.5550211500202825,0.5806483470614106,0.5549774906499049,0.5806801333595755
2024,BIN.DISCOURAGING_BEHAVIOR.CONFLICT,Yes,2480,5739,0.41931475954976843,0.44494730701235036,0.4193642843434849,0.44498857902809613,0.4192648825567754,0.4450662377271612,0.4193643647220084,0.44498849864957263,0.4193516529385895,0.4449788499797175,0.41931986664042453,0.44502250935009513
2017,BIN.DISCOURAGING_BEHAVIOR.DISMISSIVE_RESPONSE,No,1465,3345,0.4211538660961586,0.4547803640981613,0.4212343689268577,0.45484217721511944,0.42106483160442426,0.4549779619584549,0.4212345194178255,0.45484202672415186,0.42121354551305834,0.45482798230175614,0.4212190737652863,0.45485418018462964
2017,BIN.DISCOURAGING_BEHAVIOR.DISMISSIVE_RESPONSE,Yes,1880,3345,0.5452196359018388,0.5788461339038414,0.5451578227848806,0.5787656310731422,0.5450220380415451,0.5789351683955757,0.5451579732758484,0.5787654805821746,0.5451720176982439,0.5787864544869417,0.5451458198153704,0.5787809262347137
2024,BIN.DISCOURAGING_BEHAVIOR.DISMISSIVE_RESPONSE,No,2497,5736,0.422490117325428,0.4481514447387282,0.42253755289870937,0.44819058387591665,0.42243859607451334,0.4482688083418538,0.4225376258938417,0.4481905108807843,0.4225254265072989,0.4481813896037423,0.42250310100113,0.44821916983953813
2024,BIN.DISCOURAGING_BEHAVIOR.DISMISSIVE_RESPONSE,Yes,3239,5736,0.5518485552612719,0.577509882674572,0.5518094161240833,0.5774624471012907,0.5517311916581462,0.5775614039254866,0.5518094891192158,0.5774623741061584,0.5518186103962577,0.5774745734927011,0.5517808301604619,0.5774968989988714
2017,BIN.DISCOURAGING_BEHAVIOR.LACK_OF_RESPONSE,No,732,3362,0.20377719832034305,0.23167788793783659,0.2040998832253654,0.2319995221622516,0.20387868496148637,0.23206903605788878,0.20410359947930407,0.23199580590831292,0.20402384116653,0.23191700883532668,0.20401951283144926,0.23198226755201412
2017,BIN.DISCOURAGING_BEHAVIOR.LACK_OF_RESPONSE,Yes,2630,3362,0.7683221120621634,0.796222801679657,0.7680004778377484,0.7959001167746346,0.7679309639421112,0.7961213150385136,0.7680041940916871,0.7958964005206959,0.7680829911646734,0.79597615883347,0.7680177324479859,0.7959804871685507
2024,BIN.DISCOURAGING_BEHAVIOR.LACK_OF_RESPONSE,No,1264,5745,0.20930532044673278,0.23072949243403312,0.20949272140650374,0.23091626829280013,0.20936256858715704,0.23095730935538375,0.20949435425237958,0.23091463544692434,0.20944803630716305,0.23086880102303559,0.20947222362651602,0.2310540967997743
2024,BIN.DISCOURAGING_BEHAVIOR.LACK_OF_RESPONSE,Yes,4481,5745,0.7692705075659669,0.7906946795532672,0.7690837317071998,0.7905072785934962,0.7690426906446163,0.7906374314128429,0.7690853645530757,0.7905056457476205,0.7691311989769645,0.790551963692837,0.7689459032002257,0.7905277763735785
2017,BIN.DISCOURAGING_BEHAVIOR.REJECTION_WOUT_EXPLANATION,No,2273,3345,0.6637073360799022,0.6953360122011143,0.6635077982177807,0.6951236911400153,0.6634060513676809,0.6953228881776672,0.6635091380532041,0.6951223513045921,0.6635573451574881,0.6951754887080144,0.6633928906413575,0.695234032252586
2017,BIN.DISCOURAGING_BEHAVIOR.REJECTION_WOUT_EXPLANATION,Yes,1072,3345,0.3046639877988857,0.3362926639200978,0.3048763088599847,0.3364922017822192,0.30467711182233276,0.3365939486323191,0.30487764869540807,0.33649086194679595,0.3048245112919856,0.33644265484251196,0.30476596774741405,0.33660710935864246
2024,BIN.DISCOURAGING_BEHAVIOR.REJECTION_WOUT_EXPLANATION,No,3449,5742,0.5879939688709043,0.6133296117630213,0.5879305478939728,0.6132584351792328,0.5878583566933586,0.6133628482816309,0.5879307265954062,0.6132582564777994,0.5879458529902839,0.6132762774086278,0.5878658766896465,0.6132937069325248
2024,BIN.DISCOURAGING_BEHAVIOR.REJECTION_WOUT_EXPLANATION,Yes,2293,5742,0.3866703882369788,0.4120060311290958,0.38674156482076716,0.4120694521060272,0.3866371517183691,0.4121416433066414,0.38674174352220064,0.4120692734045937,0.3867237225913722,0.4120541470097161,0.38670629306747606,0.4121341233103529
2017,BIN.DISCOURAGING_BEHAVIOR.UNWELCOMING_LANGUAGE,No,2810,3357,0.8245638626033658,0.8495499294728928,0.8241738718460707,0.8491694047493321,0.8241225004130807,0.849401209287413,0.824179804469084,0.8491634721263188,0.8242759068784706,0.8492569911044019,0.8241275144049378,0.8493018401771025
2017,BIN.DISCOURAGING_BEHAVIOR.UNWELCOMING_LANGUAGE,Yes,547,3357,0.15045007052710727,0.1754361373966342,0.15083059525066786,0.1758261281539292,0.15059879071258697,0.1758774995869193,0.15083652787368124,0.17582019553091593,0.1507430088955981,0.17572409312152934,0.15069815982289744,0.1758724855950622
2024,BIN.DISCOURAGING_BEHAVIOR.UNWELCOMING_LANGUAGE,No,4508,5744,0.7741915266719118,0.7954463563364448,0.7740013163702373,0.7952558601614426,0.7739611533716799,0.7953866650021156,0.7740030201490637,0.7952541563826161,0.7740497159540496,0.7953012212757005,0.7738669349642798,0.7952791814884397
2024,BIN.DISCOURAGING_BEHAVIOR.UNWELCOMING_LANGUAGE,Yes,1236,5744,0.2045536436635553,0.22580847332808815,0.20474413983855747,0.2259986836297627,0.20461333499788437,0.22603884662832005,0.2047458436173839,0.2259969798509363,0.20469877872429953,0.22595028404595047,0.20472081851156035,0.22613306503572014
2017,BIN.INFO_JOB,No,1455,3534,0.3954889373203187,0.4279406042756066,0.39559304440255605,0.4280282209189249,0.39542613816699174,0.42814961864639145,0.3955933274162368,0.4280279379052441,0.3955666682085645,0.4280074162312558,0.3955774166397321,0.4281207503402985
2017,BIN.INFO_JOB,Yes,2079,3534,0.5720593957243933,0.6045110626796812,0.5719717790810751,0.604406955597444,0.5718503813536086,0.6045738618330083,0.5719720620947559,0.6044066725837631,0.5719925837687442,0.6044333317914354,0.5718792496597017,0.6044225833602678
2024,BIN.INFO_JOB,No,2343,6366,0.3562019854969765,0.379896035238179,0.3562845994877518,0.3799725725532249,0.3561861446631408,0.3800328838911277,0.3562848666502095,0.37997230539076715,0.35626412338080604,0.37995384983486763,0.35626125412898335,0.37998208511028414
2024,BIN.INFO_JOB,Yes,4023,6366,0.6201039647618211,0.6437980145030234,0.6200274274467751,0.6437154005122482,0.6199671161088722,0.6438138553368592,0.6200276946092328,0.6437151333497905,0.6200461501651324,0.643735876619194,0.6200179148897158,0.6437387458710166
2017,BIN.MINORITY_CURRENT_COUNTRY,No,2479,3287,0.7394636653574059,0.7689026260937654,0.7391695665719838,0.7686032997024125,0.7390893225538759,0.7688234308346773,0.7391725544538943,0.7686003118205023,0.7392443691651651,0.7686745188724209,0.7391448249178026,0.7686574453501941
2017,BIN.MINORITY_CURRENT_COUNTRY,Not sure,174,3287,0.04528138013126874,0.06059023532355329,0.04577221752734411,0.06114313018034522,0.04552993792266105,0.06114915280388011,0.04578993542553301,0.06112541228215634,0.04567154305435922,0.06098681379897576,0.04574722067861256,0.061111390855357064
2017,BIN.MINORITY_CURRENT_COUNTRY,Prefer not to say,138,3287,0.03512751482202839,0.04883962846972702,0.035624601246202585,0.04941184378539067,0.03538584255638949,0.04941096878695676,0.035645341290605294,0.04939110374098798,0.035525956590861725,0.049247145141930966,0.03555159525154265,0.0493964440471007
2017,BIN.MINORITY_CURRENT_COUNTRY,Yes,496,3287,0.13866063462411515,0.16313431517813615,0.1390617289674186,0.16354824823201894,0.13882315742817217,0.16359638171759686,0.13906850491922998,0.16354147228020763,0.13897006898218622,0.16343933647749448,0.1390008193229912,0.16364365597758432
